fid;Tipo_de_Pr;Estado_201;Proyecto;Empresa;Capacidad;Contrato;Municipio;Departamen;Lat;Long;the_geom;the_geom2
50;3;4;Parque Solar Fotovoltaico Los Prados;SOCIEDAD MERCANTIL FOTOVOLTAICA LOS PRADOS, S.A.;31;022-2014;83;6;13.15;-87.150002;POINT (-87.150002 13.15);POINT (-87.150002 13.15)
51;3;5;Parque Solar Fotovoltaica Sureña;SOCIEDAD MERCANTIL FOTOVOLTAICA SUREÑA, S.A.;50;023-2014;83;6;13.116298;-87.141121;POINT (-87.141121 13.116298);POINT (-87.141121 13.116298)
52;3;4;Solar del Sur;MECANISMOS DE ENERGÍA RENOVABLE, S.A. DE C.V. (MECER);25;031-2014;75;6;13.21417976;-87.22199842;POINT (-87.22199842 13.21417976);POINT (-87.22199842 13.21417976)
53;3;4;Helios;GENERACIÓN RENOVABLE DE HONDURAS, S.A. DE C.V. (GENERSA);25;032-2014;75;6;13.211957;-87.214726;POINT (-87.214726 13.211957);POINT (-87.214726 13.211957)
54;4;5;Energía Geotermica Azacualpa;SOCIEDAD MERCANTIL GEOTÉRMICA GEOPOWER, S.A. DE C.V., (GEOPOWER).;20;169-2014;275;16;14.708821;-88.0858631;POINT (-88.0858631 14.708821);POINT (-88.0858631 14.708821)
55;4;5;Geotermico Pavana;SOCIEDAD MERCANTIL GEOTÉRMICA GEOPOWER, S.A. DE C.V.;20;170-2014;75;6;13.4416847;-87.2956207;POINT (-87.2956207 13.4416847);POINT (-87.2956207 13.4416847)
56;4;4;GeoPlatanares;GEOTÉRMICA PLATANARES, S.A. DE C.V., (GEOPLATANARES);35;086-2010;51;4;14.7524906;-88.9322233;POINT (-88.9322233 14.7524906);POINT (-88.9322233 14.7524906)
57;4;6;Geotérmica San Ignacio;SOCIEDAD MERCANTIL RENEWABLES 4 ENERGY HOLDING, S.A. DE C.V., (GEOTÉRMICA SAN INGNACIO).;15;226-2014;128;8;14.6858803;-87.0488005;POINT (-87.0488005 14.6858803);POINT (-87.0488005 14.6858803)
58;5;4;Las Piedras - Presa Rio Las Piedras;Hidroelectrica Las Piedras S.A. De C.V.;2.1;001-2013;244;15;15.0870217;-85.7623282;POINT (-85.7623282 15.0870217);POINT (-85.7623282 15.0870217)
59;5;4;Las Piedras - Presa Rio Charrasca;Hidroelectrica Las Piedras S.A. De C.V.;2.1;001-2013;244;15;15.0956191;-85.757552;POINT (-85.757552 15.0956191);POINT (-85.757552 15.0956191)
60;5;4;Aurora I;La Aurora S.A. de C.V.;9;005-2013 o 052-2010;176;12;14.2028924;-87.8938895;POINT (-87.8938895 14.2028924);POINT (-87.8938895 14.2028924)
61;5;4;Aurora II;La Aurora S.A. de C.V.;4;006-2013;170;12;13.96335;-87.730819;POINT (-87.730819 13.96335);POINT (-87.730819 13.96335)
62;5;4;Hidroelectrica Zacapa;Empresa CENIT S.A. de C.V.;0.8;016-2004;275;16;14.6613999;-88.1925;POINT (-88.1925 14.6613999);POINT (-88.1925 14.6613999)
63;5;4;Planta Rio Canjel;Blue Energy S.A. de C.V.;3;024-2013;275;16;14.683039;-88.119892;POINT (-88.119892 14.683039);POINT (-88.119892 14.683039)
64;5;6;Planta Arenal I-II;Energias Limpias del Yaguala S.A. de C.V.;48.45;026-2014;289;18;15.2947377;-86.7770844;POINT (-86.7770844 15.2947377);POINT (-86.7770844 15.2947377)
65;5;6;Arenal Etapa IV;ENERGIAS LIMPIA DE HONDURAS, S.A DE C.V;31.1;028-2014;288;18;15.176944;-86.8563378;POINT (-86.8563378 15.176944);POINT (-86.8563378 15.176944)
66;5;5;Gualcarque G-940;Rio Power S.A. De C.V. (Riposa);19.1;038-2010;160;10;14.5220022;-88.2519245;POINT (-88.2519245 14.5220022);POINT (-88.2519245 14.5220022)
67;5;5;Humuya;Hidro-Power, S.A. (HIPO);13.79;039-2010;21;3;14.5629183;-87.7013222;POINT (-87.7013222 14.5629183);POINT (-87.7013222 14.5629183)
68;5;6;Rio Negro;ENERGISA S.A. DE C.V.;2.2;040-2010;244;15;15.5530632;-85.7354718;POINT (-85.7354718 15.5530632);POINT (-85.7354718 15.5530632)
69;5;5;Rio Frio;Corporacion Patuca S.A. de C.V. (CORPASA);4;041-2010;250;15;14.2564388;-86.1006163;POINT (-86.1006163 14.2564388);POINT (-86.1006163 14.2564388)
70;5;6;Los Planes / Pajuiles;Hodroelectricas Centrales El Progreso S.A. de C.V.;2;042-2010;2;1;15.605683;-87.5810982;POINT (-87.5810982 15.605683);POINT (-87.5810982 15.605683)
71;5;6;Los Planes / Pajuiles;Hodroelectricas Centrales El Progreso S.A. de C.V.;2;042-2010;2;1;15.6146707;-87.5838754;POINT (-87.5838754 15.6146707);POINT (-87.5838754 15.6146707)
72;5;7;Agua Zarca;Desarrollo Energeticos, S.A. C.V. (DESA);14;043-2010;270;16;14.669484;-88.186468;POINT (-88.186468 14.669484);POINT (-88.186468 14.669484)
